review_text,good_score
"I bought this from the LCBO because it was 6 pints for 10 bux. I was VERY surprised at just how good this beer is. Even though it is not on sale anymore, this is my new regular beer of choice.",1.0
"Clear straw yellow with a thin white head.  Aroma of corn and dry pils maltiness.  Taste is cheap corn, grainy pale maltiness.  Lasting light bitterness.",0.0
"Dark straw color with a foamy head. Aromas of light malt, herbal hops and apples. Faint and water flavors that include some graininess and a tart apple quality.",0.0
"(Bottle) Yellow colour, slightly hazy, with frothy white head. Fruity, wheaty nose with notes of citrus, honey and white bread. Fruity, wheaty taste with citrus (lemon, mandarin), white bread, floral hints of jasmin and white bread. Thin body, with just a touch of sweetness. Quite refreshing and better than expected.",0.0
"Nothing special going on here. Poured dark brown with red edges. Ok initial head that disappeared before long, leaving only mediocre lacing. Aroma was very light coffee. Flavor was watered down coffee with a slightly grassy finish. Decent but not memorable.",0.0
"Rather clear brownish black color with medium tan head.  This has a very roasted nutty aroma to it with some hoppiness included.  Malty taste with notes of caramelization, coffee, and a carbonated bubbly finish.    I liked this Dukel though it was deceptively labeled as a Schwartzbier.  Next thing you know Ill find a pale lager in a bottle labeled Imperial Stout, because its ""Sexier"".",0.0
"(Bottle)  Pours a mahogany body with a moderate off-white head.  Aroma of malt, berries, cherries, and marzipan.  Flavor of caramel, malt, raisins, and mild hops with a bitter finish.",0.0
"Bottle. Nice head with good duration. Color is hazy pale golden. Aroma and tastw are wheat malt, citrus and notes of sugar.",0.0
"(Bottle 33 cl) Dark brown with a decent, light-brownish head. Very dry, aromatic hoppiness - not much sweetness from the dark malts. Some roasted notes and only a medium bitter finish. 080100",0.0
"Schwarzbier label at ASS in Chapel Hill. Light brown with small white head.  I smell a drain pour. Taste it too. Maybe this is a bad bottle, but this beer is not very good.  Tastes like an alcoholic drink with no discernable flavor. Blah.",0.0
A skunky lemon aroma. Pale yellow color with a moderate head. Flavor is crisp but nothing much to it. This is basically a Heineken clone but for half the cost.,0.0
"Bottled at RBESG-06, GTN. Dark brown with a beige head. A bit roasted nose, with caramel, sugar and fruity notes. The flavor is much the same, and finishes off with some bitterness and sweetness. Quite thin. (060826)",0.0
Typical pale lager. Not too bad but nothing special. On the sweet side. No hop or malt character.,0.0
"Nice darker gold color.  Not a lot of head.  It had a slight malt note, but NO noticable hops.  I'd drink it if it was around.  Nothing great.",0.0
"The liquid is a dark amber and nearly clear.  There is some fine lace left on the glass after each sip.		Interestingly, I think this smells similarly to an American Amber--more malty (with light crystal malt) than bitter.  It doesnt seem like a dunkel to me.  The flavor does revert to style with stronger darker malts coming through on the tongue.  It also has the warming characteristics of a much higher alcohol beer.  The body is light as expected.  The aftertaste is bland but well-balanced.",0.0
"Bottle. Pours gold with soapy white head. The aroma is quite sweet and grainy with a distant light caramel note. The flavor is malty and on the sweet side. Not much going on here. Some hay in the aftertaste. Drinkable, but just barely.",0.0
"33cl bottle @ Tankstelle, Gottingen. Pours pale piss yellow with a white foam. Corny & grassy. Very mild of course. Medium bodied. Smooth. Some sweetness & notes of hops. Not that bad - actually or nearly drinkable!",0.0
"Crystal clear, mahogony lager with a large frothy, off-white head. Good lacing	Both the flavor and aroma seem to be lightstruck. Skunky. Better flavors and aromas to note: chocolate, maple syrup and yeast. Well-hopped.	Light-bodied with a watery mouthfeel and fizzy carbonation. Short, bitter finish.	Just can't get past that skunkiness!",0.0
"Eh. Very so, so. Smells slightly skunky, but does not taste as malty as that led me to believe. Tastes like fizzy spring water with a bit of honey mixed in. Maybe a hint of flowers. Or maybe thats just me being hopeful! Refreshing, I suppose, and therefore a decent lawnmower beer. But this will be my last one.",0.0
"Bottle.  Dunno, this didnt seem that bad to me at all.  Pretty inoffensive, and tastes somewhat like beer.  Pale yellow, decent head, light watery palate.  Some grainy and grassy hop notes.  Not terrible.",0.0
"Bottled at RBESG-06, GTN. Dark brown with a beige head. A bit roasted nose, with caramel, sugar and fruity notes. The flavor is much the same, and finishes off with some bitterness and sweetness. Quite thin. (060826)",0.0
"Very mild brew here; some malty flavor without being overly strong, roasted earthy dirt flavor, mouthfeel is very flat without any appreciable head after a few minutes.",0.0
"Can 440ml. [ As Co-op Dutch Lager ]. Clear light to medium yellow orange color with a average, frothy to creamy, fair lacing, mostly diminishing, off-white to white head. Aroma is light moderate malty, toasted, fruity, sugar, cardboard. Flavor is moderate sweet with a average duration. Body is light to medium, texture is oily, carbonation is soft. [20090807]",0.0
"11.2oz green bottle from The Lighthouse in Manchester.  Pours a dark copper brown with ruby-red highlights and a thin light tan head.  Smells strongly of caramel with coffee and chocolate playing strong supporting roles.  Tastes very roasty with chocolate and coffee at the fore.  Caramel and hints of continental hops are also present.  Flavors are a bit more subtle than expected but mesh rather well.  On the lighter side of medium-bodied with moderate carbonation.  Not the most robust Schwarzbier Ive tried, but theres nothing wrong with this one.  Its tasty and very drinkable.  A solid Schwarzbier.",1.0
"Bottled. Cloudy pale color, short head. Aroma of citrus, some wheat, coriander. Citrussy lemonade flavor, quite sweet, bit thin. Very drinkable NA beer, especially in summertime. I gonna buy this stuff regularly!",0.0
"Dank citrus nose with just a touch of onion/garlic and some light cotton candy notes. The taste is relatively dry, moderately bitter with cotton candy, honey, citrus and light onion. Solid.",0.0
"Clear golden, dishwashing foamy head. Hayish hoppy aroma, little honey. Lightly malty flavor, hayish hops, little honey, somehow a bit stuffy. Light bodied, small bubbled carbonation. Alright hoppiness, but still the factory-made stamp sticks out.",0.0
"Canned, alc. 4.2% (BB 02/2006)	Golden lager color, good white head, some lace. Metallic and rubbery aroma, hints of hops. Malty, light and a bit fruity palate. Gives oily and slightly harsh aftertaste. Corn or maize is maybe added.",0.0
"330 ml can.	Pours a clear golden colour with a large foamy head which collapses quickly. Aroma of grainy malts and grassy hops. Flavour has a decent malty backbone with some wheat, grains and mild hops. Light bodied with a bitterish finish. Quite good for such a cheap brew.",0.0
"50 cl can  h-west. found in crete	eur 0.56 for 50cl.	clear yellow, small thick white head.	faint cereral and yesaty aroma.	sweet corny flavor,slightly fruity, faint malty sweet, sugar,faint bitterhops. ends fruity and bitter.",0.0
"Bottle pours a crystal dark amber with a short lasting head.  The aroma is roasted barley malt.  The flavor is malty, chocolate, and coffee around the edges.  The palate is quenching.  Overall, pretty average.",0.0
"Bottled 330ml 	Hazy, murky yellow color, white head. Coriander-banana wheaty, quite natural witbier aroma. Light to medium bodied. Quite sweet, lots of banana, some spices. Lacks many bad off-flavors of NA beers. But lacks also alcholic kick and backbone. Empty version of quite useless beer style, but not bad as a NA beer.",0.0
"Shaker pint draft at the Flying Saucer in Kansas City, Missouri.  Pour is amber brown with not too much of an off white head.  This is a thin looking beer.  Not much aroma, roasted malt, smoke elements and some sweaty socks. Taste is the roasted smoked malt and caramel sweetness.  The palate is thin, watery and drinkable.",0.0
12oz bottle shared by Dogbrick. Clear yellow pour with a medium white head. Skunky aroma with some malt and a bit of hop. Watery and somewhat malty flavor with a bit of hop at the end. About what I expected out of my first ever taste of a NA beer.,0.0
"Looks pretty average, pale gold, head is poor. A cloying sweetness hits the tongue on the first mouthful, and as that slowly fades there is very little left, no trace of malt or hops and no finish...best avoided if you ask me!",0.0
"UPDATED: JUL 1, 2006 Skunky aroma (undoubtedly a result of the green bottle) is overwhelming. Capped by a slight, quickly receding, white head this brew is light and tightly carbonated with a lingering bitter finish that sits comfortably on the back of the tongue. Average pils. I wish I had a fresh bottle to compare.",0.0
"Bottle 33 cl. Poured very pale yellow in colour with frothy white head. Spices, earth, parfume and wheat in aroma. Flavour is mostly dry wheat. Aroma was promising, but unfortunately the flavour lacks some character.",0.0
"(bottle) pale gold with OK white head. Very little aroma. Flavor is mild malt, not much hops.",0.0
"It says ""schwarzbier"" on the green bottle, but its definitely a dunkel inside.  It pours dark, but brown, not black.  Small white head.  Its got a sweet, sweet roasted malt aroma with some nuttiness.  Same with the watery taste.  Clean finish.  Pretty uninteresting.",0.0
"Canned(330ml). -nice and cheap, little to sweet",0.0
better than a macro like bud or miller but not quite as good as a premium. nough said.,0.0
Pretty weak cheap nasty shop own brand beer. oh it smelled nasty and tasted much like the garish orange can it was in. horrible,0.0
"Reddish brwon, thin brown head. bready aroma. Fatty, thick mouthfeel. Flavor is, um, beery, I guess. Not very interesting at all.",0.0
A very good German dark beer. Nice dark brown to black color with a slightly sweet chocolatey flavor. Good stuff.,1.0
Dark brown in color. Aroma of malt and caramel. Sweet in taste with roasted malt notes,0.0
"Draft.  I have a feeling there might have been something wrong with this keg.  The dunkel showed a bit of sourness and other unpleasantry.  Even putting that aside, the underlying flavor was unremarkable.  Having sampled all the Einbecker brews available in the U.S., I would say this is the only one that falls short of brilliance.",0.0
The aroma is sweet and lightly grassy but mostly nothing. The appearance is pale gold with an average head. The flavor is like the aroma with an astringent finish. The palate is thin. Overall a really bad beer.,0.0
"bottle - yellow body with a white head - sweet malty nose - mild malty flavour, unusual well tasting low alcohol beer",0.0
"UPDATED: FEB 22, 2009 Yellow gold out of the bottle, decent head. Low aroma of hops and grass, but very disappointing on the palate. Bland and watery compared to the nose.",0.0
"Sampled at the Horecava 2011. Didnt had a glass so I drank it straight out the of the can. Witbier without alcohol.. come on. Its good that there is an alternative for those who still need to drive but... come on. Flavour was grainy, dry with a metallic finish. But I guess that was because I sampled it out of the can. Like I said, great for people who need to drive, but Ill just have a 7-up",0.0
The aroma is sweet and lightly grassy but mostly nothing. The appearance is pale gold with an average head. The flavor is like the aroma with an astringent finish. The palate is thin. Overall a really bad beer.,0.0
"On tap at the Flying Saucer in KC. Pours a deep brown body with a reddish tint. Dense, two-finger width, light brown head that dissipates slowly and leaves a moderate lacing. Aroma is nutty with a medium roast and grainy. Some sweet malts and a light plum on the nose as well. Flavor is roasty and bready. Some dark fruits, nuts, and a hint of citrus with a light sweetness. Finishes slightly dry with a medium lasting aftertaste. Medium bodied, clean, and smooth. Overall, I was anticipating a little more sweetness, but it actually had a nice, clean roasty taste. Not bad at all.",0.0
"A mid golden lager that has enough traces of malt and hops to keep you interested.  Same brewer as the shite Bavaria Premium/Pilsner.  Marginally better than that, but only just.  If it was 40degress outside and this is all I had to drink, Id put up with it.  My sample was in Australia, and came in a narrow 330ml green bottle.",0.0
"Einbecker ""Schwarzbier"" is a ruby brown lager with a sandy slight head.  The aroma is grainy-- roasted barly.  Its fresh and faint.  Its thin in the mouth.  The flavor is of deep malt.  Its lightly bitter and a little funky.  My drinking party and I all agreed that this was a Dunkel, not a Schwarzbier.  Why did they call this a Schwarzbier?",0.0
This beer is probably the cheapest European import we have in Oz.  It is a great tasting beer for the money and I can honestly say Ive had quite a few large nights on this brew.,0.0
"Blond color. Strong honey aroma. Common flavor, too much hay character.",0.0
"Bottle (33 cl) from Systembolaget. Grainy, slightly sourish malt aroma with carboard. Light in body, medium carbonation. Dry with medium bitterness.",0.0
"clear pale golden colour, few foam, slightly herbal, fat hoppy nose, sweet and oily, aftertaste of wet carton",0.0
"Its in a green bottle and not skunked, well good start so far. A cloudy yellow appearance. Almost no aroma exists and the flavor is crisp with some corny and grassy flavors coming through. Overall its more boring than anything. Perhaps Cheri would enjoy getting a dutch windmill.",0.0
Bottle. Frothy white good mostly lasting head. Ugly yeasty aroma. Short ugly finish. Very watery palate. Avoid.,0.0
"Lightly sweet toffee and light raisin nose. The taste is lightly sweet, lightly bitter, toffee and dark fruit malts, herbal hops, some bread dough and a bit of dusty yeast. Just a bit of aspirin on the finish",0.0
"12oz Bottle: Pale yellow, lightly fizzy, some lacing. The nose is strong with husk, alcohol and sweet cheap malts and light floor grade hops. The flavor is either a bit more bitter than I expected, or just kinda zesty and acidic from the carbonation. I thinking the latter, but it almost comes across like a snappy pilsener. Finishes thin, watery, no biscuit or toast or any other yummy bavarian lager type goodies. A typical export lager sold as a cheap alternative to the big boys.",0.0
"Notes of caramel sticky buns on the nose but very faint. Also grainy and slightly hoppy. Flavor followed. Not too bad. The pour is the best part - nice, clear, brown color with light brown, fluffy head.",0.0
This gets an extra point for being in a green bottle and not being skunked. Quite bland and boring but drinkable.,0.0
Bottle. Dark ruby colour with a tan head. Aroma of caramel & malt. Malty roasted flavour. Also a bit nutty. Average body.,0.0
"Clearly a Heineken rip-off, which shouldnt be too hard to screw up, but this one really isnt too good. Luckily you will drink it fast, without thinking about it too much.",0.0
"8/21/11. Goofy shaped 11.2oz bottle. Brown pour, lots of red under light, with a big creamy tan head that cuts in half but lasts. Roasted caramel aroma with toffee and biscuits, unfortunately tainted by skunk. Decent flavor of caramel, medium toast malt, and toffee... but also a touch of skunk. The toasted caramel aspect really comes out. Not bad.",0.0
"Delicious.  Dark, slightly sweet, some fruitiness.  As the description says, it is very mild, but found it very drinkable, with a good aftertaste.  Although it is mild and a bit thin,  overall a good dunkel.  Very tasty.",1.0
"Bottle: Had this one years ago:	Small light off white head on top of a clear darker orange to light brown colored beer.	Smell malts, caramel, herbs, hint of hops.	Taste is a bit of a watery mix of malts, barleys, light sweet, light bitter, caramel, hops and a hint of herbs.	Wasnt impressed when I tasted this years ago.",0.0
"UPDATED: MAY 23, 2005 Dark brown beer with a small head.  Sweet malt aroma.  Flavor is not as sweet as expected from the aroma.  Malty, smoky, with a lightly bitter and very dry finish.  Decent but not great...... 05-23-2005....  well, it gets better after the first one.   The first one is rough and metallic, but the rest of the sixpack tastes pretty good.  Add a point for that.   Not bad.",0.0
"Bottle 33 cl. Pours a a clear yellow with a small and disappearing head giving it an unatttractive appearance. The aroma is not really pleasant too, Grain and hops, but some unpleasant notes like cardboard and dish-water too. The taste is pretty good compared to what came before tasting, its pretty sweet, a bit fruity, no spices and some grain. The finish is is a bit hoppy, but not very longlasting. Pretty good for such an ultra-cheap supermarket-bock, but not special or groundbreaking at all.",0.0
"Poured a rich dark brown with a small white head. Aroma of molasses; body, very thin and watery with a nutty molasses flavor, dry finish.",0.0
"Bottled. Cloudy pale color, short head. Aroma of citrus, some wheat, coriander. Citrussy lemonade flavor, quite sweet, bit thin. Very drinkable NA beer, especially in summertime. I gonna buy this stuff regularly!",0.0
"(330ml bottle thanks to the best Pale Lager supplier a guy could know, Fratto) very pale yellow, nice lacing, fine white bubbles. Nose of a skunk, corn. Taste of corn and skunk, cracker, grain, GROSS. This is awful.",0.0
"Bottle: Golden, stable creamy white head, grassy hoppy nose, backed by a small amount of pale malt; moderate bitter-sweet flavour, light bodied, sweet pale-malt and citrousy hops in the finish. Quite well balanced Pilsner, way better than the usual german ""Premium""-fizz.......",0.0
"Bottle. Metallic aroma, watery dry flavor and metallic aftertaste. Thin mouth feel.",0.0
"Syrupy, molasses nose; caramel-Coke color; foamy tan head. Full caramelly malt body, toffee, chocolate tones. Tight quick bitter. Impeccable balance. Mediumn body. Classy, sophisticated, great German dark.",1.0
Pours a muddy caramel color that is not so appetizing. Flavor is a little too sweet with much of the caramel and nuttiness you expect for the style. Would work well late in a meal with a little vanilla ice cream maybe.,0.0
Roasty and dry with a nice touch of sweetness in the middle.  Very dry finish.  Body was smooth but thin.,0.0
Bottle: Bright golden yellow with some fizzyness. Matl and hops in the nose with a medium head. Taste is nicely bitter and reminds me of Heineken but I liked this one a bit more.,0.0
"Good dark color with good head and some lacing.  Smell was more like a grain/bread smell than anything else.  Now after say all the good things, the taste was disappointing.  It tasted like a nothing special light beer.",0.0
"Bubbly white head, golden see through.  Malty, and slightly sweet hoppy aroma.  Crispy, bitter flavor.  Very carbonated.  Mostly I am impressed with the fresh taste.  Different from many of its German counterparts.",1.0
"I was quite pleased with this beer. I tried a couple a few years back when I was a young lad who didn't appreciate the 'finer things in life' and thought it was pretty bitter, but i'm glad I bought a 6 pack, especially for the cheap price. Your usual European lager really. Poured out nice golden, with a decent head. Decent malty flavour with a bitter hint, but no unbareable. Of course, it's not spectacular, but it was well worth it.",0.0
"Pours golden with a big rocky white head, nice lacing. Aroma is grassy. Flavor is lemon, grass and a hint of caramel. Light-bodied, dry finish.",0.0
Fizzy yellow water. Faint cooked veggies and dome cheapo grassy hop extract and crap malts. Wet cardboard and old grass. Blech.,0.0
"Straw color with a tall waxy looking white head. One simple ring of lace. Light pale malt, wort and hint of vinegar in the aroma. Light and mildly effervescent. Watery wort flavor with a light spicy/grassy/hoppy finish. This could be quite satisfying on a really warm day.",0.0
"21.03.2004, 0,33l Bottle. Dark beer with a small head. Aroma is rich malty, but lacks a little. It tastes vort?!. Maybe it needs a little more alcohol?. This bottle has exceded the BB date a long time ago. Maybe it is better when its fresh.",0.0
"Bottle.Hazy yellow colour with medium white head.Aroma is sweet of orange and coriander and light body,fresh and tasty beer with zero alc.",0.0
"Dark brown beer with nice head.Caramel,malty,sweet,light bitter,bread. plum.Easy dreaking but Not such a good body.",0.0
"Bottle at Novare Res.	Labeled as Schwarzbier because Im in the US, but still pours a nice brown with a tan head.  Aroma of maple syrup, hints of malts, and brown sugar.  Flavor is brown sugary, but not cloying at all.  Very well balanced. Nice clean finish and mouthfeel.  This beer is exceedingly easy to drink, but actually very enjoyable at the same time.  Damn fine session beer id wager.",0.0
"Head is initially average sized, frothy, white, mostly diminishing. Body is dark brown. Aroma is lightly malty (grain, caramel). Flavor is lightly sweet, moderately bitter. Finish is lightly bitter. Light to medium body, watery texture, soft carbonation.",0.0
"Bottle. Pours a piss yellow color w/ think white head. leaves some drippy lacing. Miniscule bubbles are noted. Nose is wet cardboard, chewed straw, and some bottom of the bottle lemons. Palate feels tingly and a slight bitterness hits the end followed by a skunky taste. Notable flavors include that same cardboard, sucking on a shoe lace, or dandelions in water.",0.0
"Gold pour with pilsy aromas of hopcit and thiols.  Tastes pale malty, with some finishing hops and honey, and a burst of thiols at the end.  Average at best.",0.0
"Pours gold with a fluffy, 3 finger, bright white head that has great retention and leaves nice lacing. Aroma is pretty heavy on corn, some wet grain, apple skins and alcohol. Flavor is corn, a vague sorta malty sweetness, alcohol, light salinity and some skunky, grassy hops. Palate is light bodied, slick on entry has a medium carbonation that fits the beer well, and an off dry slightly slick finish, feels much like very soft water on the palate. Not good, but there are definitely worse cut-rate Pale Lagers out there.",0.0
"Watery and thin.  Overall, a nice black lager but could use a bit of a malt kick-in-the-pants.  Errs on the mild side.",0.0
The aroma is sweet and lightly grassy but mostly nothing. The appearance is pale gold with an average head. The flavor is like the aroma with an astringent finish. The palate is thin. Overall a really bad beer.,0.0
"Sampled at the Horecava 2011. Didnt had a glass so I drank it straight out the of the can. Witbier without alcohol.. come on. Its good that there is an alternative for those who still need to drive but... come on. Flavour was grainy, dry with a metallic finish. But I guess that was because I sampled it out of the can. Like I said, great for people who need to drive, but Ill just have a 7-up",0.0
"UPDATED: JUL 5, 2011 Translucent mahogany, thin beige head, smooth medium body, medium-high carbonation.		Aroma: caramel malt, herbal lemon hop bitterness, fruity, and some dark astringent malt.		Taste: nutmeg, roast malt, lemony leafy hops, and a touch of minerality.	_______		Take 2	Aroma is briming with sweet caramel malt and rich bready goodness.	Taste leads with caramel malt and follows with roasted grain. Some fruity yeast and alcohol esters add a little complexity. There is a subtle note of blackened malt as well. Finish is mostly sweet, but has a bit of grain-husk dryness.",0.0
"Bottle. Slightly bready aroma, like many other alcohol free beers. Clear pale yellow colour. Small stable white head. The flavour is slightly bready. A bit of the usual metallic bitterness, but not bad at all. Not much flavour, but drinkable.",0.0
"Pale yellow color with a white firm head. Aroma is of soft malt. Low to mild bitterness, fruity flavor and some citric hops over here and there. Watery texture.",0.0
"I did not really like this beer.  Grainy, bitter, not very fun to drink.  Also a little skunky, and Ive had this more than once so I dont think it was old.",0.0
"A drinkable beer.  Nothing special.  More malty than it should be.  Had it had a bit more hop, it would have been twice the beer it is.  All in all, not a bad beer, clean if nothing else.",0.0
"Golden colour, thin head, not like,..but its a cheap supermarkt one, had thise on lots of time in different cans/bottles",0.0
"Can at Pathe Munt in Amsterdam. Watery lager. Not much to recommend it but definitely doable if needed. Much better than Amsterdam, Atlas and other alternative beers Ive rated recently.",0.0
An average dutch beer.  Better than the alternatives.,0.0
"Nice hoppy aroma. Suprisingly light taste. Not as impressed as I thought Id be, but enjoyable & refreshing.",0.0
"Can, weak as piss UK 3% version. Pale gold, thin white head and moderate condiition No noticable aroma, low sweet malt in the mouth and a short sweet chalky finish.",0.0
Light yellow color with nearly no head. Borring light malty aroma. Some grains in there somewhere but hard to detect. Watery. Lousy beer.,0.0
"Pours with a three-finger cream head that some lace.  Clear deep amber color.  Medium bodied and medium carbonation.  Slightly malty nose.  Starts sweet finishes mellow, a good schwarz even with the green bottle.  $1.90 for a 330ml bottle from Colonial Spirits Acton, Ma.",0.0
"From a 12 oz. stubby green bottle with a coded freshness date on the bottom of back label.		Poured a clear yellowish golden with a foamy white head that settled into a thin lacing.		Well, this smells like your typical Dutch pale macro lager, that funky grassiness with a little grain husk, a lightly backing sweet pale malts.		The right amount of steady carbonation and a crisp, smooth light bodied mouthfeel.		Bland euro lager tasting, grain husks and sweet, sugary pale malts, the hops are softly bitter and a bit neutral tasting, some light veggie flavor and a dryish sweet grainy finish, passable macro drinkability.		This is cheaper than Heineken with little else to recommend it.",0.0
"Found at carrefour in 250ml bottles, 5.5% abv and exactly like the can pictured. I was wondering with baited breath what ""prestige"" beer tasted like.... and the way this stuff was priced, it certainly wasnt ""prestigious""! Pours very average into a flute glass, carbonated yellow, styrofoam head. Aroma of water, grains, cereal. Taste is a rotting maltiness, like they kept the malt in the water too long and it turned bad on them. Weak mouthfeel.  Nothing interesting at all about this one.",0.0
"Dutch lager tasted in Belgian Dash, Goinia, Brazil. Perhaps it is not a great beer, but if it detaches in the comparison with the brazilian faked blondes. At least, this is a true one...  Pours a golden yellow beer with a creamy and estable head. Hoppy nose, light body. Watery malty flavor. Soft mouthfeel. Pleasant aftertaste, lightly sweet.",0.0
Brown color. Very thin body. Sweet is prime flavor with a bit of roasted malt. No hops.,0.0
not bad fairly cheap better than alot of em for the money nothing spectacular plae yellow fizzy head the usual for this type,0.0
"typical dutch lager. decent amount of flavour, a tiny bit skunky and refreshing. it is nothing out of the ordinary.",0.0
Pours a golden yellow with a nice white head.  Aroma is skunky like heinken and flavor is similar.  not bad though,0.0
"Nice dark brown with what seem to be some dark greens/greys. Interesting color I havent seen much of.  Small fizzy head, very clear body.  Aroma of hops (hallertauer possibly), and some faint yeast.  Begins with a zip of carbonation and has hints of cane sugar, anise and hops.  Pretty crisp finish with a slightly chewy body that is prone to thinning as it warms.  A good beer, but as has been said, nothing terribly unique.",0.0
"Can, weak as piss UK 3% version. Pale gold, thin white head and moderate condiition No noticable aroma, low sweet malt in the mouth and a short sweet chalky finish.",0.0
"Pours golden with a big rocky white head, nice lacing. Aroma is grassy. Flavor is lemon, grass and a hint of caramel. Light-bodied, dry finish.",0.0
"When I purchased this, the guy at the counter told me it was like Heineken without that nasty aftertaste.  Well, yeah, sort of.",0.0
"A friends engagement party the other night turned into an impromptu Dutch megalager tasting - four more ratings. Woo hoo! This was the worst of a surprisingly decent lot. Cardboardy malt flavour, metallic bitterness and a bit watery. Not terrible but not really worth revisiting.",0.0
Shenandoah throwdown.  Thanks to wickedpete.  Orange-brown pour with a thick off-white head.  Lots hops on the aroma- piny with some citrus and grass.  Very and dry and bitter flavor.  Grassy hops finish.  Fresh grains balance out the hops.  Good IPA,1.0
"Bottle:  Clear straw with almost no head after a couple of seconds, grainy earthy aroma, watery texture, starts and ends lightly bitter with a grassy taste and some green-bottle skunk.",0.0
"Bottle, 4.8%. Sweet hop aroma. Clear golden colour, white head. The flavour has some OK flavour hops and a bit of malt. The aftertaste gets a little dusty and rounds off with a slight bitterness. Very clean, but not flavourless.",0.0
"If I ever decided to quit drinking, not that I would.  This would be what I would choose to drink.  Definitely the best N/A that I have tried, and they pretty much invented the style.  Big bready flavors, with some spicy and somewhat grassy hoppiness in every sip.  Quite drinkable if I had to.",0.0
"very dark brown color - almost black; very little head; dark malty flavor with a fair amount of bitterness in the aftertaste; not bad, but it wouldn't be on my want list",0.0
"Ruby-maroon-brown, fine-bubbled off white diminishing head.  Nose dark choclate, caramel, raisin-dates?, toffee.  Sweetish smooth all the way through.  Chocolate, roast-toast, dryish herbal finish.  Dee says the finish tastes like the bitter herb stuff they use to get kids to stop sucking their thumbs...not that she sucked her thumb or anything....",0.0
Bottle. Frothy white good mostly deminishing head. Yellow colour. nice grassy hoppy aroma. Light bitter bready flavor. Almost harsh light bitter finish. Watery palate. Not very good.,0.0
bottle from aldi. Weird aroma. beer looks like a wit but tastes weird. Gets better along the way but I prefer better wits.,0.0
